front	left	right	left	right
			down	down
----	----	----	---	----
226	37	220	3	9
178	146	150	2	3
199	254	71	7	7
193	113	20	5	4
90	61	176	2	3
149	23	7	1	2
245	262	18	2	6
16	169	37	2	5
141	106	127	3	8
122	187	189	9	3
254	222	240	5	2
177	94	140	3	4
276	194	14	4	5
164	58	88	7	8
236	269	180	5	2
132	200	221	6	1
153	47	81	8	6
51	124	140	4	1
178	178	230	7	2
270	261	167	2	7
150	149	151	1	5
135	176	93	4	5
223	191	116	8	8
26	259	223	4	8
247	43	97	9	5
2	114	130	6	3
144	88	103	4	2
190	195	191	9	8
159	250	159	9	9
134	138	183	8	9
90	226	138	3	6
169	92	112	3	1
256	154	134	8	1
192	109	19	7	2
266	252	116	5	1
28	190	272	9	7
144	232	219	5	2
31	31	205	9	6
153	79	215	5	8
193	215	212	5	6
42	61	237	7	4
218	10	216	4	8
112	123	275	5	3
252	263	32	2	3
86	74	111	7	8
18	160	138	6	5
62	101	73	6	3
24	8	11	8	7
267	141	273	2	2
5	232	204	8	9
33	73	42	18	74
4	13	42	7	1
61	70	198	6	60
4	186	107	62	64
180	93	22	66	73
145	185	116	60	78
69	4	41	61	10
55	202	224	77	42
26	110	261	38	66
104	10	2	63	51
3	114	183	34	77
169	201	190	76	76
135	258	72	1	78
87	276	237	79	6
209	276	83	46	36
236	251	8	28	26
74	243	27	45	11
144	225	224	24	11
126	156	200	13	65
96	118	220	54	42
235	36	175	55	76
276	184	232	64	80
176	242	10	28	33
51	77	114	21	30
35	236	70	28	19
163	20	135	27	36
92	107	247	75	22
76	76	79	61	37
155	43	168	24	35
51	177	8	49	21
190	89	44	62	11
16	269	234	68	34
10	140	55	73	41
81	207	233	48	26
22	4	95	6	55
253	170	188	18	36
238	162	15	70	35
111	227	206	34	64
48	184	140	53	66
121	246	265	63	61
117	253	82	20	64
205	43	106	45	41
114	54	32	19	45
267	222	271	1	51
256	17	122	62	8
267	110	24	2	20
97	84	201	32	50
82	206	142	21	25
249	30	92	17	62
59	222	211	53	22
